STATION,LINENAME,DAILYENTRY,DAILYEXIT,ZIPCODE
KINGS HWY,F,82277,72098,
80 ST,A,82200,50028,
7 AV,BQ,81612,94035,
BRIARWOOD,EF,81380,52620,
25 ST,R,80776,84461,
36 AV,NQW,80766,68717,
CLARK ST,23,80752,77017,
FRANKLIN ST,1,80486,72657,
ROOSEVELT ISLND,F,80274,105361,
21 ST-QNSBRIDGE,F,79429,125732,
CLASSON AV,G,79310,71484,
190 ST,A,79282,42812,
CANAL ST,1,79066,85428,
DITMAS AV,F,79013,44744,
KINGSTON AV,3,78727,74411,
ALLERTON AV,25,78579,52323,
CORTELYOU RD,BQ,78153,51632,
155 ST,BD,77664,47791,
182-183 STS,BD,77010,40082,
BOWERY,JZ,76558,76238,
HARLEM 148 ST,3,76394,63064,
163 ST-AMSTERDM,C,76175,32683,
CHAUNCEY ST,JZ,76120,37930,
225 ST,25,75945,48481,
JAY ST-METROTEC,R,75744,55809,
145 ST,3,75728,5007,
233 ST,25,75588,39093,
77 ST,R,75312,50756,
EAST 105 ST,L,75178,77185,
MYRTLE AV,JMZ,74913,72965,
AVENUE H,BQ,73606,55118,
KOSCIUSZKO ST,J,73422,50124,
138/GRAND CONC,45,72659,70375,
6 AV,FLM123,72601,44133,
BEVERLY RD,25,72345,20038,
VAN SICLEN AV,3,72301,45369,
75 ST-ELDERTS,JZ,72052,47921,
NEW LOTS,L,71818,47925,
BERGEN ST,23,71728,73439,
50 ST,D,71552,66536,
75 AV,EF,71338,25392,
PARKSIDE AV,BQ,71336,61698,
WINTHROP ST,25,71316,36437,
111 ST,J,71127,43087,
W 8 ST-AQUARIUM,FQ,70772,58589,
238 ST,1,70393,3583,
STERLING ST,25,69996,59693,
FT HAMILTON PKY,N,69529,71556,
18 AV,N,68413,60151,
LIVONIA AV,L,68115,54857,
HALSEY ST,J,67702,59798,
BROADWAY,NQW,67361,68614,
DYCKMAN ST,A,67155,5456,
85 ST-FOREST PK,J,66935,39387,
65 ST,MR,66670,55899,
103 ST,BC,66405,68082,
CRESCENT ST,JZ,66331,65361,
BEVERLEY ROAD,BQ,66291,50343,
25 AV,D,66011,30967,
155 ST,C,65987,53479,
GUN HILL RD,5,65838,28830,
PRESIDENT ST,25,65308,71736,
MONTROSE AV,L,65306,58565,
NORWOOD AV,JZ,65085,56527,
INTERVALE AV,25,64821,60203,
18 AV,F,64661,64365,
BROADWAY,G,64615,67343,
74 ST-BROADWAY,7EFMR,64521,108307,
KINGS HWY,N,64489,62388,
EASTCHSTER/DYRE,5,64307,71939,
20 AV,D,64079,37419,
BEACH 67 ST,A,63972,50543,
VAN SICLEN AVE,C,63922,57378,
18 AV,D,63851,35606,
30 AV,NQW,63453,69784,
WILSON AV,L,62202,61903,
NEREID AV,25,62199,33028,
FLUSHING AV,G,62199,60802,
SHEPHERD AV,C,62047,40802,
BURKE AV,25,61822,30891,
BOROUGH HALL,R2345,61786,40692,
ALABAMA AV,J,61507,51567,
RIT-ROOSEVELT,R,61436,4756,
219 ST,25,61387,39767,
CENTRAL AV,M,61114,51067,
GATES AV,JZ,60645,61220,
RIT-MANHATTAN,R,60196,3401,
BEACH 60 ST,A,59917,44826,
VAN SICLEN AV,JZ,59756,58635,
HEWES ST,JM,59730,33704,
LIBERTY AV,C,59535,33800,
KNICKERBOCKER,M,59292,62131,
FLUSHING AV,JM,57810,72094,
AVENUE U,N,57703,46637,
SENECA AVE,M,57285,51846,
BUHRE AV,6,55064,54510,
BAY 50 ST,D,55046,15074,
WESTCHESTER SQ,6,54795,77382,
CLEVELAND ST,J,54774,45345,
BRONX PARK EAST,25,54733,27912,
ZEREGA AV,6,54500,50878,
YORK ST,F,54277,39863,
NEW UTRECHT AV,ND,52688,56840,
PATH WTC 2,1,51980,65380,
AQUEDUCT RACETR,A,50526,6365,
MIDDLETOWN RD,6,49749,37129,
215 ST,1,49431,22378,
SUTTER AV,L,49169,34161,
39 AV,NQW,49090,39142,
111 ST,A,48772,20750,
WHITLOCK AV,6,48658,49211,
BEACH 25 ST,A,48252,45010,
55 ST,D,48142,23627,
PARK PLACE,S,46682,50544,
BAYCHESTER AV,5,46442,12046,
BUSHWICK AV,L,46125,32673,
ATLANTIC AV,L,45284,18031,
104 ST,A,45142,16142,
CLINTON-WASH AV,G,44937,17972,
PELHAM PKWY,5,44912,39222,
PARK PLACE,23ACE,43482,38269,
FOREST AVE,M,41986,49261,
AVENUE X,F,41626,36322,
88 ST,A,41107,22471,
21 ST,G,39839,42401,
86 ST,N,39187,31027,
20 AV,N,37905,9374,
AVENUE P,F,36848,42640,
AVENUE N,F,36726,34622,
NEWARK HM HE,1,36151,223151,
BOTANIC GARDEN,S2345,33883,46230,
CYPRESS HILLS,J,33081,21137,
MORRIS PARK,5,32362,29720,
NEPTUNE AV,F,32341,13284,
BEACH 90 ST,AS,28897,23848,
BEACH 36 ST,A,25613,26741,
104 ST,JZ,25419,6147,
AQUEDUCT N.COND,A,24513,44065,
E 143/ST MARY'S,6,24316,26048,
PROSPECT AV,R,23016,23410,
SUTTER AV-RUTLD,3,22931,18855,
TOMPKINSVILLE,1,21880,0,
121 ST,JZ,21572,4977,
ROCKAWAY PARK B,AS,21147,24412,
AVENUE U,F,18460,33393,
BEACH 44 ST,A,18373,19318,
AVENUE I,F,18089,32864,
BEACH 98 ST,AS,16743,16104,
BAY PKWY,F,12543,20401,
BEACH 105 ST,AS,9355,9491,
BROAD CHANNEL,AS,8080,3291,
JUNIUS ST,3,5275,6547,
ORCHARD BEACH,6,569,645,
